Australian Road Deaths Database: Fatalities,,,,,,,,,,,,,,,,,,,
(Data current to February 2026),,,,,,,,,,,,,,,,,,,
Note: A value of '-9' is used for a missing/unknown value.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas 2021,SA4 Name 2021,National LGA Name 2021,National Road Type,Christmas Period,Easter Period
1200604240166,NSW,4,2006,Monday,12:55:00,Multiple,No,Yes,No,70,Passenger,Male,33,Unknown,Unknown,Unknown,Unknown,No,No
4198912230197,SA,12,1989,Saturday,12:01:00,Multiple,No,-9,No,110,Driver,Male,49,Unknown,Unknown,Unknown,Unknown,Yes,No
120221282988,NSW,2,2022,Saturday,21:10:00,Multiple,No,No,No,80,Passenger,Male,18,Inner Regional Australia,Sydney - Outer West and Blue Mountains,Wollondilly,Sub-arterial Road,No,No
120171128298,NSW,2,2017,Thursday,18:20:00,Multiple,No,Yes,No,80,Motorcycle rider,Male,45,Inner Regional Australia,Coffs Harbour - Grafton,Bellingen,Local Road,No,No
5200008140105,WA,8,2000,Monday,18:45:00,Multiple,No,-9,No,60,Driver,Male,21,Unknown,Unknown,Unknown,Unknown,No,No
100237318763194266,VIC,4,2025,Sunday,18:22:00,Multiple,No,No,No,60,Motorcycle rider,Male,20,Major Cities of Australia,Melbourne - South East,Cardinia,Sub-arterial Road,No,No
7182255020756577382,NSW,11,2025,Friday,20:00:00,Multiple,No,No,No,60,Pedestrian,Female,33,Major Cities of Australia,Sydney - North Sydney and Hornsby,Hornsby,Arterial Road,No,No
3201201250020,QLD,1,2012,Wednesday,15:00:00,Multiple,No,No,Yes,100,Driver,Male,46,Unknown,Unknown,Unknown,Unknown,No,No
5200805220069,WA,5,2008,Thursday,18:43:00,Multiple,No,No,No,60,Passenger,Male,32,Unknown,Unknown,Unknown,Unknown,No,No
5201102160024,WA,2,2011,Wednesday,02:10:00,Single,No,No,No,80,Driver,Male,39,Unknown,Unknown,Unknown,Unknown,No,No
320171093790,QLD,6,2017,Saturday,02:00:00,Multiple,Yes,No,Yes,100,Passenger,Male,42,Outer Regional Australia,Cairns,Cassowary Coast,National or State Highway,No,No
2200501090009,VIC,1,2005,Sunday,14:10:00,Single,No,No,No,80,Motorcycle rider,Male,33,Unknown,Unknown,Unknown,Unknown,No,No
5198912300213,WA,12,1989,Saturday,09:40:00,Multiple,No,-9,No,110,Passenger,Female,32,Unknown,Unknown,Unknown,Unknown,Yes,No
2200504270112,VIC,4,2005,Wednesday,19:25:00,Single,No,No,No,100,Motorcycle rider,Male,29,Unknown,Unknown,Unknown,Unknown,No,No
6200102180008,TAS,2,2001,Sunday,22:15:00,Single,Yes,-9,No,40,Passenger,Male,72,Unknown,Unknown,Unknown,Unknown,No,No
1199706050241,NSW,6,1997,Thursday,05:08:00,Single,No,-9,No,60,Pedestrian,Male,21,Unknown,Unknown,Unknown,Unknown,No,No
3199001160007,QLD,1,1990,Tuesday,14:00:00,Multiple,No,-9,No,60,Driver,Female,77,Unknown,Unknown,Unknown,Unknown,No,No
1200806080138,NSW,6,2008,Sunday,17:30:00,Single,No,No,No,80,Pedestrian,Male,10,Unknown,Unknown,Unknown,Unknown,No,No
5201210050129,WA,10,2012,Friday,19:40:00,Multiple,No,No,Yes,110,Driver,Male,38,Unknown,Unknown,Unknown,Unknown,No,No
6199203270013,TAS,3,1992,Friday,06:47:00,Multiple,No,-9,No,60,Driver,Female,45,Unknown,Unknown,Unknown,Unknown,No,No
1200010250427,NSW,10,2000,Wednesday,21:10:00,Single,No,-9,No,100,Passenger,Female,3,Unknown,Unknown,Unknown,Unknown,No,No
1200504100116,NSW,4,2005,Sunday,02:10:00,Single,No,No,No,60,Passenger,Male,16,Unknown,Unknown,Unknown,Unknown,No,No
120221306108,NSW,12,2022,Thursday,22:12:00,Multiple,No,No,No,60,Motorcycle rider,Male,49,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Collector Road,No,No
1199308090284,NSW,8,1993,Monday,06:05:00,Multiple,No,-9,No,100,Driver,Male,22,Unknown,Unknown,Unknown,Unknown,No,No
6199912060045,TAS,12,1999,Monday,09:05:00,Single,No,-9,No,100,Driver,Male,35,Unknown,Unknown,Unknown,Unknown,No,No
1199310240407,NSW,10,1993,Sunday,01:45:00,Single,No,-9,No,100,Pedestrian,Male,29,Unknown,Unknown,Unknown,Unknown,No,No
5936393751711850177,VIC,5,2023,Saturday,01:30:00,Single,No,No,No,100,Passenger,Female,14,Outer Regional Australia,Warrnambool and South West,Southern Grampians,Sub-arterial Road,No,No
